Time,Membrane Potential,IKr
0.0,-90.07677746740625,-6.777527323709225e-06
0.2330277733607559,-90.07679543524104,-6.7673262611853705e-06
0.4660555467215118,-90.07681338532444,-6.757140146255849e-06
0.9787833260350505,-90.07685282341127,-6.734775353814072e-06
1.491511105348589,-90.0768921852581,-6.712473592166983e-06
2.0042388846621275,-90.07693146463913,-6.690240734042522e-06
2.83494662087119,-90.07699492397334,-6.654370513748436e-06
4.243920094743073,-90.07710204893068,-6.593956649275161e-06
6.83804546679845,-90.07729761692835,-6.484114040551893e-06
11.176716979727983,-90.07761994264531,-6.304350502906472e-06
15.515388492657516,-90.07793638624837,-6.12944637175274e-06
19.85406000558705,-90.07824704976784,-5.959286042442807e-06
20.0,-90.07825740086301,-5.953642546683889e-06
20.00003450170353,-90.07549728469206,-5.869070117341009e-06
20.000069003407063,-90.07273718618076,-5.784498962766095e-06
20.000159167827377,-90.06552421161948,-5.563492349704515e-06
20.00024933224769,-90.05831134412729,-5.342494030419918e-06
20.000339496668005,-90.05109859253761,-5.121504277447966e-06
20.00042966108832,-90.04388595972362,-4.900523180678005e-06
20.000625988920213,-90.02818128209888,-4.4193796470586096e-06
20.00108192174541,-89.99171244166794,-3.302177257264715e-06
20.001537854570607,-89.95524665155351,-2.1851970012573954e-06
20.001993787395804,-89.91878389958202,-1.0684387458184594e-06
20.002449720221,-89.88232417253472,4.809767373787786e-08
20.003059980025732,-89.83352804214472,1.542219369581091e-06
20.003670239830463,-89.7847372766514,3.0359442921223435e-06
20.004280499635193,-89.73595184224477,4.529272896220814e-06
20.00520692211672,-89.66190182193995,6.795506921337207e-06
20.006133344598247,-89.58786389454154,9.060830125374988e-06
20.007059767079774,-89.51383794599255,1.1325243945929321e-05
20.008521336066288,-89.39707510574455,1.4895847220104843e-05
20.0099829050528,-89.28034135588972,1.846419595236171e-05
20.011444474039315,-89.16363625562823,2.2030295422099673e-05
20.01290604302583,-89.04695936645821,2.5594150776964142e-05
20.015718691584112,-88.822503724283,3.244615041473423e-05
20.018531340142395,-88.59814785850939,3.928989219371858e-05
20.02134398870068,-88.37388871563235,4.612540866187878e-05
20.02415663725896,-88.14972327426037,5.29527305168045e-05
20.026969285817245,-87.92564854585609,5.977188657494087e-05
20.029781934375528,-87.70166157549318,6.658290374041609e-05
20.03259458293381,-87.47775944262126,7.338580697372724e-05
20.035407231492094,-87.25393926184971,8.018061925997064e-05
20.038219880050377,-87.03019818373878,8.696736157697371e-05
20.04103252860866,-86.80653339557912,9.374605286391154e-05
20.043845177166943,-86.58294212214905,0.00010051670999074524
20.046657825725227,-86.35942162644524,0.00010727934772860515
20.04947047428351,-86.13596921038283,0.0001140339787212561
20.05381866672438,-85.79065246939459,0.00012446051554250247
20.058166859165247,-85.44548245968957,0.00013486796966609917
20.062515051606116,-85.1004497828903,0.00014525635690726147
20.066863244046985,-84.75554527992172,0.000155625680215686
20.071211436487854,-84.41076003510989,0.00016597592949564984
20.075559628928723,-84.06608537900844,0.00017630708146657625
20.07990782136959,-83.72151289072451,0.00018661909954083714
20.08661797597347,-83.18994835457063,0.000202494995371419
20.09332813057735,-82.65857889508388,0.00021832495429550334
20.10003828518123,-82.1273771037842,0.0002341086520056886
20.10674843978511,-81.59631700829699,0.0002498456866259667
20.11341150437524,-81.06909972063193,0.0002654256368171365
20.11345859438899,-81.0653740633509,0.00026553557865027566
20.12016874899287,-80.53452513640809,0.00028117777107184415
20.12687890359675,-80.00374848789815,0.0002967716297042724
20.13358905820063,-79.47302374526771,0.0003123164437173337
20.14029921280451,-78.9423318713924,0.00032781142637061276
20.14700936740839,-78.41165512897629,0.000343255715896731
20.15371952201227,-77.88097704175621,0.0003586483765103505
20.16042967661615,-77.35028235200163,0.0003739883995579954
20.16713983122003,-76.81955697417217,0.000389274704812465
20.17384998582391,-76.2887879461734,0.00040450614187001444
20.18056014042779,-75.7579633797541,0.00041968149160653297
20.18727029503167,-75.22707240966301,0.000434799467705007
20.19798835623547,-74.37892368439825,0.000458824859041333
20.20870641743927,-73.53054501586396,0.0004826945568486428
20.21942447864307,-72.68190621675491,0.0005064023196984194
20.23014253984687,-71.8329819095053,0.0005299415282004372
20.24086060105067,-70.983750945517,0.0005533052050998007
20.25157866225447,-70.13419583015248,0.0005764860359916919
20.26229672345827,-69.2843021500108,0.0005994763908172358
20.27301478466207,-68.43405799637185,0.0006222683463833183
20.28373284586587,-67.58345338201836,0.0006448537100444661
20.29445090706967,-66.73247964868624,0.0006672240446724516
20.30516896827347,-65.88112885709299,0.0006893706951756766
20.31588702947727,-65.02939314614551,0.0007112848169585936
20.32660509068107,-64.17726404573078,0.000732957406739378
20.33732315188487,-63.3247317257006,0.0007543793361473777
20.34804121308867,-62.47178415883062,0.000775541388590006
20.35875927429247,-61.61840616817156,0.0007964342999902774
20.36947733549627,-60.76457832166595,0.000817048804081718
20.38019539670007,-59.91027562929281,0.0008373756829979905
20.39091345790387,-59.05546598827033,0.000857405823953878
20.40163151910767,-58.20010830872397,0.0008771302829001903
20.41234958031147,-57.34415023625392,0.0008965403561176396
20.42306764151527,-56.487525369624755,0.0009156276607618646
20.43378570271907,-55.63014985067845,0.0009343842253809365
20.44450376392287,-54.77191817834688,0.0009528025914026634
20.45522182512667,-53.91269806890725,0.0009708759265134702
20.46593988633047,-53.052324150756085,0.000988598150686063
20.47665794753427,-52.19059024622523,0.0010059640753086866
20.48737600873807,-51.327239939821474,0.0010229695555212374
20.49809406994187,-50.46195511248356,0.0010396116550225334
20.5,-50.307855378367435,0.0010425328268783127
